Component,Model used,Selection/source note
CD74HC08D-Q100,CD74HC08,TI official official index SCHM069 referenced; LTspice portable generated macro used
SN74LVC2G02DCTR,SN74LVC2G02DCTR,TI official index SCEM624 referenced; LTspice portable generated macro used
SN74LVC1G32DBVR,SN74LVC1G32DBVR,TI official index SCEM632 referenced; LTspice portable generated macro used
SN74LV1T32DBVR,SN74LV1T32DBVR,TI official index SCLM181 referenced; LTspice portable generated macro used
SN74LV1T08DBVR,SN74LV1T08DBVR,TI official index SCLM184 referenced; LTspice portable generated macro used
SN74LVC1G14DBVR,SN74LVC1G14DBVR,TI official index SCEM637 referenced; LTspice portable generated macro used
SN74LVC1G17QDCKRQ1,SN74LVC1G17QDCKRQ1,TI official index SCEM635 referenced; LTspice portable generated macro used
TL331IDBVR,TL331IDBVR,Generated macro used for exact pin/logic match
NE555DR,NE555DR_HP,Generated macro used because NE555 model is not available from TI
LM340MP-5.0/NOPB,LM340MP_5V,Generated regulator macro
SMBJ18CA,SMBJ18CA_MACRO,Generated TVS macro
SMD2920P075TF,SMD2920P075TF_MACRO,Generated PPTC macro
AO3480C,AO3480C_MACRO,Generated NMOS macro
