board,item_type,item,status,evidence
bspd,component,C0603,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C10,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C11,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C12,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C1206,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C13,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C2,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C3,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C4,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C5,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C6,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C7,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C8,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,C9,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,D1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,D2,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,L1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,L10,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,L6,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,LED0603,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,LED1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,Q1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,Q2,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,Q3,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R0603,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R1,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R10,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R11,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R12,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R13,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R14,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R15,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R16,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R17,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R18,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R19,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R20,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R21,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R22,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R25,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R26,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R27,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
bspd,component,R28,covered,bspd_rule_timing.cir;bspd_scs_matrix.cir;bspd_q2_orientation.cir;lm2596_complete_power_stage.cir
