board,test,corner,result,value,limit,rule
BSPD,trip delay,nominal,PASS,0.300396 s,<0.500 s,T 12.6.2
BSPD,trip delay,fast,PASS,0.247322 s,<0.500 s,T 12.6.2
BSPD,trip delay,slow,PASS,0.366905 s,<0.500 s,T 12.6.2
BSPD,reset hold,nominal,PASS,13.504414 s,>=10.000 s,T 12.6.1
BSPD,reset hold,fast,PASS,10.742286 s,>=10.000 s,T 12.6.1
BSPD,reset hold,slow,PASS,16.317782 s,>=10.000 s,T 12.6.1
BSPD,power removal,all,PASS,SC_OUT=0,open,T 12.6.4
EBS,electrical trigger response,nominal,PASS,0.090818 s,<=0.200 s,AV 3.3.1 proxy
EBS,electrical trigger response,fast,PASS,0.080301 s,<=0.200 s,AV 3.3.1 proxy
EBS,electrical trigger response,slow,PASS,0.108277 s,<=0.200 s,AV 3.3.1 proxy
Lock,SCS fault to SDC open,nominal,PASS,0.083659 s,safe state,T 12.10.2/3
Lock,SCS fault to SDC open,fast,PASS,0.074698 s,safe state,T 12.10.2/3
Lock,SCS fault to SDC open,slow,PASS,0.097462 s,safe state,T 12.10.2/3
Relay detection,open detection,nominal,PASS,0.006801 s,correct polarity,T 12.10
TSAL,blink frequency,nominal,PASS,2.775002 Hz,2-5 Hz,EV 4.10
TSAL,blink frequency,fast,PASS,3.839402 Hz,2-5 Hz,EV 4.10
TSAL,blink frequency,slow,PASS,2.108911 Hz,2-5 Hz,EV 4.10
TSAL,blink duty,all,PASS,51.77-52.11 %,50% nominal,EV 4.10
Vehicle power-up,TSMS on while LVMS off,ordered,PASS,TS voltage 0 V,<=60 V,inspection item 246
Vehicle power-up,LVMS on while TSMS off,ordered,PASS,TS voltage 0 V,<=60 V,inspection item 247-248
Vehicle power-up,indicator visibility check,ordered,PASS,2.000 s,1-3 s,T 12.10.4
Vehicle power-up,precharge before AIR2,ordered,PASS,AIR2 open at 7.2 s,required,inspection item 250
Vehicle power-up,simultaneous switching noise,fast/nominal/slow,PASS,false conflict 0 V,no false trip,SCS safety
Long harness,15 m coupled transient,nominal,PASS,filtered peak 0.501 V,<1.484 V,no false trip
Long harness,valid-signal propagation,nominal,PASS,1.065 ms,recorded,signal integrity
LM2596,5V steady output,official TI model,PASS,4.9905 V,5 V nominal,power stage
LM2596,output ripple,official TI model,PASS,32.04 mV,recorded,power stage
LM2596,startup to 4.5V,official TI model,PASS,1.927 ms,recorded,power stage
Lock,POR corner,fast/nominal/slow,PASS,1.504/5.004/12.004 ms,all reach normal,POR
All SCS,15-class long-line matrix,all cases,PASS,15 cases,no low-state false assertion,T 12.10
Coverage,TEL component and net mapping,all boards,PASS,530 rows,0 uncovered,verification matrix
